SRR043409.806 61ED1AAXX100429:3:1:1058:11677/1
SRR043409.807 61ED1AAXX100429:3:1:1058:3562/1
SRR043409.808 61ED1AAXX100429:3:1:1058:19307/1
SRR043409.809 61ED1AAXX100429:3:1:1059:7433/1
SRR043409.810 61ED1AAXX100429:3:1:1059:6009/1
SRR043409.811 61ED1AAXX100429:3:1:1059:18959/1
SRR043409.812 61ED1AAXX100429:3:1:1059:5514/1
SRR043409.813 61ED1AAXX100429:3:1:1059:5691/1
SRR043409.814 61ED1AAXX100429:3:1:1059:11303/1
SRR043409.815 61ED1AAXX100429:3:1:1059:17373/1
SRR043409.816 61ED1AAXX100429:3:1:1059:1832/1
SRR043409.817 61ED1AAXX100429:3:1:1059:6986/1
SRR043409.818 61ED1AAXX100429:3:1:1059:7566/1
SRR043409.820 61ED1AAXX100429:3:1:1060:4595/1
SRR043409.821 61ED1AAXX100429:3:1:1060:5907/1
SRR043409.822 61ED1AAXX100429:3:1:1060:1566/1
SRR043409.823 61ED1AAXX100429:3:1:1060:15102/1
SRR043409.824 61ED1AAXX100429:3:1:1060:2757/1
SRR043409.825 61ED1AAXX100429:3:1:1060:9613/1
SRR043409.826 61ED1AAXX100429:3:1:1060:4216/1
SRR043409.827 61ED1AAXX100429:3:1:1060:3215/1
SRR043409.828 61ED1AAXX100429:3:1:1060:16297/1
SRR043409.829 61ED1AAXX100429:3:1:1061:4693/1
SRR043409.830 61ED1AAXX100429:3:1:1061:15358/1
SRR043409.831 61ED1AAXX100429:3:1:1061:6713/1
SRR043409.832 61ED1AAXX100429:3:1:1061:2946/1
SRR043409.833 61ED1AAXX100429:3:1:1061:1280/1
SRR043409.834 61ED1AAXX100429:3:1:1061:9832/1
SRR043409.835 61ED1AAXX100429:3:1:1061:2100/1
SRR043409.836 61ED1AAXX100429:3:1:1061:5792/1
SRR043409.837 61ED1AAXX100429:3:1:1061:16140/1
SRR043409.838 61ED1AAXX100429:3:1:1061:20111/1
SRR043409.839 61ED1AAXX100429:3:1:1061:10316/1
SRR043409.840 61ED1AAXX100429:3:1:1062:19159/1
SRR043409.841 61ED1AAXX100429:3:1:1062:7205/1
SRR043409.842 61ED1AAXX100429:3:1:1062:4021/1
