ERR257948.19979 D1UV2ACXX_0:1:1101:87903:0/1
ERR257948.19980 D1UV2ACXX_0:1:1101:87905:0/1
ERR257948.19990 D1UV2ACXX_0:1:1101:87933:0/1
ERR257948.19994 D1UV2ACXX_0:1:1101:87956:0/1
ERR257948.19995 D1UV2ACXX_0:1:1101:87965:0/1
ERR257948.19996 D1UV2ACXX_0:1:1101:87981:0/1
ERR257948.19997 D1UV2ACXX_0:1:1101:87984:0/1
ERR257948.20002 D1UV2ACXX_0:1:1101:88020:0/1
ERR257948.21133 D1UV2ACXX_0:1:1101:92802:0/1
ERR257948.21134 D1UV2ACXX_0:1:1101:92806:0/1
ERR257948.21137 D1UV2ACXX_0:1:1101:92837:0/1
ERR257948.21141 D1UV2ACXX_0:1:1101:92855:0/1
ERR257948.21142 D1UV2ACXX_0:1:1101:92863:0/1
ERR257948.21143 D1UV2ACXX_0:1:1101:92867:0/1
ERR257948.21145 D1UV2ACXX_0:1:1101:92879:0/1
ERR257948.21151 D1UV2ACXX_0:1:1101:92914:0/1
ERR257948.21155 D1UV2ACXX_0:1:1101:92936:0/1
ERR257948.22278 D1UV2ACXX_0:1:1101:97766:0/1
ERR257948.22281 D1UV2ACXX_0:1:1101:97774:0/1
ERR257948.22288 D1UV2ACXX_0:1:1101:97859:0/1
ERR257948.23433 D1UV2ACXX_0:1:1101:102649:0/1
ERR257948.23436 D1UV2ACXX_0:1:1101:102669:0/1
ERR257948.23440 D1UV2ACXX_0:1:1101:102681:0/1
ERR257948.23441 D1UV2ACXX_0:1:1101:102690:0/1
ERR257948.23442 D1UV2ACXX_0:1:1101:102696:0/1
ERR257948.23445 D1UV2ACXX_0:1:1101:102723:0/1
ERR257948.23446 D1UV2ACXX_0:1:1101:102728:0/1
ERR257948.24560 D1UV2ACXX_0:1:1101:107502:0/1
ERR257948.24563 D1UV2ACXX_0:1:1101:107519:0/1
ERR257948.24573 D1UV2ACXX_0:1:1101:107561:0/1
ERR257948.24578 D1UV2ACXX_0:1:1101:107599:0/1
ERR257948.25238 D1UV2ACXX_0:1:1101:110287:0/1
ERR257948.25728 D1UV2ACXX_0:1:1101:112451:0/1
ERR257948.25732 D1UV2ACXX_0:1:1101:112474:0/1
ERR257948.25733 D1UV2ACXX_0:1:1101:112479:0/1
ERR257948.25734 D1UV2ACXX_0:1:1101:112485:0/1
ERR257948.25735 D1UV2ACXX_0:1:1101:112487:0/1
ERR257948.25736 D1UV2ACXX_0:1:1101:112499:0/1
ERR257948.25737 D1UV2ACXX_0:1:1101:112504:0/1
ERR257948.25747 D1UV2ACXX_0:1:1101:112540:0/1
ERR257948.26872 D1UV2ACXX_0:1:1101:117309:0/1
ERR257948.26878 D1UV2ACXX_0:1:1101:117331:0/1
ERR257948.26883 D1UV2ACXX_0:1:1101:117350:0/1
ERR257948.26884 D1UV2ACXX_0:1:1101:117352:0/1
ERR257948.26887 D1UV2ACXX_0:1:1101:117374:0/1
ERR257948.26888 D1UV2ACXX_0:1:1101:117377:0/1
ERR257948.26894 D1UV2ACXX_0:1:1101:117414:0/1
ERR257948.27986 D1UV2ACXX_0:1:1101:122295:0/1
ERR257948.27989 D1UV2ACXX_0:1:1101:122304:0/1
ERR257948.27997 D1UV2ACXX_0:1:1101:122357:0/1
ERR257948.27998 D1UV2ACXX_0:1:1101:122364:0/1
ERR257948.28000 D1UV2ACXX_0:1:1101:122378:0/1
ERR257948.29117 D1UV2ACXX_0:1:1101:127260:0/1
ERR257948.29118 D1UV2ACXX_0:1:1101:127270:0/1
ERR257948.29120 D1UV2ACXX_0:1:1101:127305:0/1
ERR257948.29121 D1UV2ACXX_0:1:1101:127314:0/1
ERR257948.30238 D1UV2ACXX_0:1:1101:132199:0/1
ERR257948.30247 D1UV2ACXX_0:1:1101:132217:0/1
ERR257948.30255 D1UV2ACXX_0:1:1101:132247:0/1
ERR257948.30256 D1UV2ACXX_0:1:1101:132255:0/1
ERR257948.30257 D1UV2ACXX_0:1:1101:132270:0/1
ERR257948.30258 D1UV2ACXX_0:1:1101:132278:0/1
ERR257948.31433 D1UV2ACXX_0:1:1101:137142:0/1
ERR257948.31437 D1UV2ACXX_0:1:1101:137168:0/1
ERR257948.31438 D1UV2ACXX_0:1:1101:137184:0/1
ERR257948.32554 D1UV2ACXX_0:1:1101:142035:0/1
ERR257948.32557 D1UV2ACXX_0:1:1101:142057:0/1
ERR257948.32559 D1UV2ACXX_0:1:1101:142069:0/1
ERR257948.32561 D1UV2ACXX_0:1:1101:142075:0/1
ERR257948.32562 D1UV2ACXX_0:1:1101:142085:0/1
ERR257948.32564 D1UV2ACXX_0:1:1101:142134:0/1
ERR257948.33753 D1UV2ACXX_0:1:1101:147043:0/1
ERR257948.33763 D1UV2ACXX_0:1:1101:147068:0/1
ERR257948.33766 D1UV2ACXX_0:1:1101:147078:0/1
ERR257948.33769 D1UV2ACXX_0:1:1101:147103:0/1
ERR257948.33770 D1UV2ACXX_0:1:1101:147112:0/1
ERR257948.33775 D1UV2ACXX_0:1:1101:147158:0/1
ERR257948.33779 D1UV2ACXX_0:1:1101:147168:0/1
ERR257948.34911 D1UV2ACXX_0:1:1101:151998:0/1
ERR257948.34912 D1UV2ACXX_0:1:1101:152016:0/1
ERR257948.34913 D1UV2ACXX_0:1:1101:152021:0/1
ERR257948.34914 D1UV2ACXX_0:1:1101:152027:0/1
ERR257948.34917 D1UV2ACXX_0:1:1101:152045:0/1
ERR257948.35706 D1UV2ACXX_0:1:1101:155381:0/2
ERR257948.36073 D1UV2ACXX_0:1:1101:156900:0/1
ERR257948.36081 D1UV2ACXX_0:1:1101:156959:0/1
ERR257948.36082 D1UV2ACXX_0:1:1101:156961:0/1
ERR257948.36083 D1UV2ACXX_0:1:1101:156969:0/1
ERR257948.36084 D1UV2ACXX_0:1:1101:156970:0/1
ERR257948.36085 D1UV2ACXX_0:1:1101:156975:0/1
ERR257948.37163 D1UV2ACXX_0:1:1101:161778:0/1
ERR257948.37165 D1UV2ACXX_0:1:1101:161783:0/1
ERR257948.37169 D1UV2ACXX_0:1:1101:161794:0/1
ERR257948.37175 D1UV2ACXX_0:1:1101:161819:0/1
ERR257948.37180 D1UV2ACXX_0:1:1101:161864:0/1
ERR257948.37183 D1UV2ACXX_0:1:1101:161884:0/1
ERR257948.38357 D1UV2ACXX_0:1:1101:166832:0/1
ERR257948.38362 D1UV2ACXX_0:1:1101:166863:0/1
ERR257948.39459 D1UV2ACXX_0:1:1101:171697:0/1
ERR257948.39463 D1UV2ACXX_0:1:1101:171718:0/1
ERR257948.39467 D1UV2ACXX_0:1:1101:171766:0/1
ERR257948.39470 D1UV2ACXX_0:1:1101:171778:0/1
ERR257948.39473 D1UV2ACXX_0:1:1101:171788:0/1
ERR257948.39479 D1UV2ACXX_0:1:1101:171817:0/1
ERR257948.40608 D1UV2ACXX_0:1:1101:176598:0/1
ERR257948.40610 D1UV2ACXX_0:1:1101:176600:0/1
ERR257948.40613 D1UV2ACXX_0:1:1101:176607:0/1
ERR257948.40614 D1UV2ACXX_0:1:1101:176609:0/1
ERR257948.40617 D1UV2ACXX_0:1:1101:176622:0/1
ERR257948.40622 D1UV2ACXX_0:1:1101:176682:0/1
ERR257948.40623 D1UV2ACXX_0:1:1101:176687:0/1
ERR257948.40626 D1UV2ACXX_0:1:1101:176701:0/1
ERR257948.40631 D1UV2ACXX_0:1:1101:176719:0/1
ERR257948.41116 D1UV2ACXX_0:1:1101:178825:0/2
ERR257948.41717 D1UV2ACXX_0:1:1101:181632:0/1
ERR257948.41720 D1UV2ACXX_0:1:1101:181647:0/1
ERR257948.41724 D1UV2ACXX_0:1:1101:181656:0/1
ERR257948.41727 D1UV2ACXX_0:1:1101:181671:0/1
ERR257948.41728 D1UV2ACXX_0:1:1101:181683:0/1
ERR257948.41729 D1UV2ACXX_0:1:1101:181685:0/1
ERR257948.41730 D1UV2ACXX_0:1:1101:181692:0/1
ERR257948.41731 D1UV2ACXX_0:1:1101:181696:0/1
ERR257948.42825 D1UV2ACXX_0:1:1101:186565:0/1
ERR257948.42829 D1UV2ACXX_0:1:1101:186589:0/1
ERR257948.42830 D1UV2ACXX_0:1:1101:186602:0/1
ERR257948.42831 D1UV2ACXX_0:1:1101:186605:0/1
ERR257948.42834 D1UV2ACXX_0:1:1101:186636:0/1
ERR257948.43939 D1UV2ACXX_0:1:1101:191438:0/1
ERR257948.43942 D1UV2ACXX_0:1:1101:191464:0/1
ERR257948.43943 D1UV2ACXX_0:1:1101:191471:0/1
ERR257948.43944 D1UV2ACXX_0:1:1101:191479:0/1
ERR257948.43945 D1UV2ACXX_0:1:1101:191481:0/1
ERR257948.43946 D1UV2ACXX_0:1:1101:191482:0/1
ERR257948.43947 D1UV2ACXX_0:1:1101:191501:0/1
ERR257948.43950 D1UV2ACXX_0:1:1101:191520:0/1
ERR257948.43955 D1UV2ACXX_0:1:1101:191536:0/1
ERR257948.45081 D1UV2ACXX_0:1:1101:196327:0/1
ERR257948.45084 D1UV2ACXX_0:1:1101:196340:0/1
ERR257948.45091 D1UV2ACXX_0:1:1101:196368:0/1
ERR257948.45092 D1UV2ACXX_0:1:1101:196374:0/1
ERR257948.45093 D1UV2ACXX_0:1:1101:196386:0/1
ERR257948.45094 D1UV2ACXX_0:1:1101:196416:0/1
ERR257948.45100 D1UV2ACXX_0:1:1101:196452:0/1
ERR257948.46224 D1UV2ACXX_0:1:1101:201352:0/1
ERR257948.46227 D1UV2ACXX_0:1:1101:201357:0/1
ERR257948.46228 D1UV2ACXX_0:1:1101:201359:0/1
ERR257948.46234 D1UV2ACXX_0:1:1101:201382:0/1
ERR257948.46237 D1UV2ACXX_0:1:1101:201393:0/1
ERR257948.46239 D1UV2ACXX_0:1:1101:201433:0/1
ERR257948.46242 D1UV2ACXX_0:1:1101:201462:0/1
ERR257948.47378 D1UV2ACXX_0:1:1101:206346:0/1
ERR257948.47383 D1UV2ACXX_0:1:1101:206373:0/1
ERR257948.47388 D1UV2ACXX_0:1:1101:206387:0/1
ERR257948.47390 D1UV2ACXX_0:1:1101:206407:0/1
ERR257948.47391 D1UV2ACXX_0:1:1101:206415:0/1
ERR257948.47392 D1UV2ACXX_0:1:1101:206418:0/1
ERR257948.47393 D1UV2ACXX_0:1:1101:206423:0/1
ERR257948.47398 D1UV2ACXX_0:1:1101:206439:0/1
ERR257948.48499 D1UV2ACXX_0:1:1101:211265:0/1
ERR257948.48506 D1UV2ACXX_0:1:1101:211326:0/1
ERR257948.48509 D1UV2ACXX_0:1:1101:211341:0/1
ERR257948.48510 D1UV2ACXX_0:1:1101:211355:0/1
ERR257948.49624 D1UV2ACXX_0:1:1101:216200:0/1
ERR257948.49625 D1UV2ACXX_0:1:1101:216209:0/1
ERR257948.49637 D1UV2ACXX_0:1:1101:216246:0/1
