ERR243065.34331 HS9_09378:1:1102:21178:34911#36/1
ERR243065.34332 HS9_09378:1:1102:21179:33674#36/1
ERR243065.34334 HS9_09378:1:1102:21181:46941#36/1
ERR243065.34335 HS9_09378:1:1102:21184:24000#36/1
ERR243065.34336 HS9_09378:1:1102:21184:44322#36/1
ERR243065.34337 HS9_09378:1:1102:21185:11829#36/1
ERR243065.34338 HS9_09378:1:1102:21185:83561#36/1
ERR243065.34339 HS9_09378:1:1102:21186:57888#36/1
ERR243065.34340 HS9_09378:1:1102:21190:51570#36/1
ERR243065.34341 HS9_09378:1:1102:21191:5060#36/1
ERR243065.34342 HS9_09378:1:1102:21191:82903#36/1
ERR243065.34343 HS9_09378:1:1102:21191:93718#36/1
ERR243065.34344 HS9_09378:1:1102:21192:5342#36/1
ERR243065.34345 HS9_09378:1:1102:21192:62154#36/1
ERR243065.34346 HS9_09378:1:1102:21193:87012#36/1
ERR243065.34347 HS9_09378:1:1102:21194:9238#36/1
ERR243065.34348 HS9_09378:1:1102:21195:64299#36/1
ERR243065.34349 HS9_09378:1:1102:21195:97705#36/1
ERR243065.34350 HS9_09378:1:1102:21196:75478#36/1
ERR243065.34351 HS9_09378:1:1102:21197:87401#36/1
ERR243065.34352 HS9_09378:1:1102:21199:24361#36/1
ERR243065.34353 HS9_09378:1:1102:21199:70896#36/1
ERR243065.34354 HS9_09378:1:1102:21200:29573#36/1
ERR243065.34355 HS9_09378:1:1102:21200:83857#36/1
ERR243065.34356 HS9_09378:1:1102:21202:3513#36/1
ERR243065.34357 HS9_09378:1:1102:21202:70377#36/1
ERR243065.34358 HS9_09378:1:1102:21202:75140#36/1
ERR243065.34359 HS9_09378:1:1102:21203:72572#36/1
ERR243065.34360 HS9_09378:1:1102:21204:19845#36/1
ERR243065.34361 HS9_09378:1:1102:21207:40670#36/1
ERR243065.34362 HS9_09378:1:1102:21213:24446#36/1
ERR243065.34363 HS9_09378:1:1102:21213:47508#36/1
ERR243065.34364 HS9_09378:1:1102:21214:29417#36/1
ERR243065.34365 HS9_09378:1:1102:21214:34364#36/1
ERR243065.34366 HS9_09378:1:1102:21215:31076#36/1
ERR243065.34367 HS9_09378:1:1102:21221:8722#36/1
ERR243065.34368 HS9_09378:1:1102:21221:28251#36/1
ERR243065.34369 HS9_09378:1:1102:21222:63718#36/1
ERR243065.34370 HS9_09378:1:1102:21223:27076#36/1
ERR243065.34371 HS9_09378:1:1102:21226:30762#36/1
ERR243065.34372 HS9_09378:1:1102:21230:47113#36/1
ERR243065.34373 HS9_09378:1:1102:21230:90112#36/1
ERR243065.34374 HS9_09378:1:1102:21233:4387#36/1
ERR243065.34375 HS9_09378:1:1102:21233:87320#36/1
ERR243065.34376 HS9_09378:1:1102:21234:78612#36/1
ERR243065.34377 HS9_09378:1:1102:21237:23642#36/1
ERR243065.34378 HS9_09378:1:1102:21238:16398#36/1
ERR243065.34379 HS9_09378:1:1102:21240:95846#36/1
ERR243065.34380 HS9_09378:1:1102:21242:97764#36/1
ERR243065.34381 HS9_09378:1:1102:21245:20334#36/1
ERR243065.34382 HS9_09378:1:1102:21248:82321#36/1
ERR243065.34383 HS9_09378:1:1102:21249:96260#36/1
ERR243065.34384 HS9_09378:1:1102:21253:14920#36/1
ERR243065.34385 HS9_09378:1:1102:21254:11900#36/1
ERR243065.34386 HS9_09378:1:1102:21255:16198#36/1
ERR243065.34387 HS9_09378:1:1102:21256:18180#36/1
ERR243065.34388 HS9_09378:1:1102:21256:49201#36/1
ERR243065.34389 HS9_09378:1:1102:21257:2556#36/1
ERR243065.34390 HS9_09378:1:1102:21257:31844#36/1
ERR243065.34391 HS9_09378:1:1102:21258:83794#36/1
ERR243065.34392 HS9_09378:1:1102:21265:35569#36/1
ERR243065.34393 HS9_09378:1:1102:21266:50246#36/1
ERR243065.34394 HS9_09378:1:1102:21267:47117#36/1
ERR243065.34395 HS9_09378:1:1102:21268:43601#36/1
ERR243065.34396 HS9_09378:1:1102:21269:21581#36/1
ERR243065.34397 HS9_09378:1:1102:21269:65992#36/1
ERR243065.34398 HS9_09378:1:1102:21271:70202#36/1
ERR243065.34399 HS9_09378:1:1102:21272:35092#36/1
ERR243065.34400 HS9_09378:1:1102:21272:74525#36/1
ERR243065.34401 HS9_09378:1:1102:21272:99906#36/1
ERR243065.34402 HS9_09378:1:1102:21273:16704#36/1
ERR243065.34403 HS9_09378:1:1102:21274:34628#36/1
ERR243065.34404 HS9_09378:1:1102:21275:97423#36/1
ERR243065.34405 HS9_09378:1:1102:21278:26323#36/1
ERR243065.34406 HS9_09378:1:1102:21278:50567#36/1
ERR243065.34407 HS9_09378:1:1102:21279:54674#36/1
ERR243065.34408 HS9_09378:1:1102:21280:63781#36/1
ERR243065.34409 HS9_09378:1:1102:21281:51850#36/1
ERR243065.34410 HS9_09378:1:1102:21281:98110#36/1
ERR243065.34411 HS9_09378:1:1102:21283:3253#36/1
ERR243065.34412 HS9_09378:1:1102:21283:33733#36/1
ERR243065.34413 HS9_09378:1:1102:21285:49184#36/1
ERR243065.34414 HS9_09378:1:1102:21285:82340#36/1
ERR243065.34415 HS9_09378:1:1102:21285:100609#36/1
ERR243065.34416 HS9_09378:1:1102:21287:10933#36/1
ERR243065.34417 HS9_09378:1:1102:21287:26208#36/1
ERR243065.34418 HS9_09378:1:1102:21287:35118#36/1
ERR243065.34419 HS9_09378:1:1102:21288:38649#36/1
ERR243065.34420 HS9_09378:1:1102:21288:85191#36/1
ERR243065.34421 HS9_09378:1:1102:21289:48033#36/1
ERR243065.34422 HS9_09378:1:1102:21294:76776#36/1
ERR243065.34423 HS9_09378:1:1102:21295:87624#36/1
ERR243065.34424 HS9_09378:1:1102:21297:11384#36/1
ERR243065.34425 HS9_09378:1:1102:21298:46489#36/1
ERR243065.34426 HS9_09378:1:1102:21298:76421#36/1
ERR243065.34427 HS9_09378:1:1102:21298:98022#36/1
ERR243065.34428 HS9_09378:1:1102:21299:26235#36/1
ERR243065.34429 HS9_09378:1:1102:21299:46650#36/1
ERR243065.34430 HS9_09378:1:1102:21300:93586#36/1
ERR243065.34431 HS9_09378:1:1102:21301:93212#36/1
ERR243065.34432 HS9_09378:1:1102:21305:46626#36/1
ERR243065.34433 HS9_09378:1:1102:21307:62857#36/1
ERR243065.34434 HS9_09378:1:1102:21309:38863#36/1
ERR243065.34435 HS9_09378:1:1102:21309:65236#36/1
ERR243065.34436 HS9_09378:1:1102:21310:27225#36/1
