SRR396143.2994525 D050VACXX110915:3:2308:21353:194693/3
SRR396143.2994526 D050VACXX110915:3:2308:16461:194694/3
SRR396143.2994527 D050VACXX110915:3:2308:10722:194705/3
SRR396143.2994528 D050VACXX110915:3:2308:9181:194706/3
SRR396143.2994529 D050VACXX110915:3:2308:18625:194706/3
SRR396143.2994530 D050VACXX110915:3:2308:6494:194708/3
SRR396143.2994531 D050VACXX110915:3:2308:2713:194709/3
SRR396143.2994532 D050VACXX110915:3:2308:7478:194712/3
SRR396143.2994533 D050VACXX110915:3:2308:11283:194713/3
SRR396143.2994534 D050VACXX110915:3:2308:19711:194723/3
SRR396143.2994535 D050VACXX110915:3:2308:16411:194727/3
SRR396143.2994536 D050VACXX110915:3:2308:15671:194730/3
SRR396143.2994537 D050VACXX110915:3:2308:14879:194733/3
SRR396143.2994538 D050VACXX110915:3:2308:6731:194738/3
SRR396143.2994539 D050VACXX110915:3:2308:5209:194747/3
SRR396143.2994540 D050VACXX110915:3:2308:6613:194747/3
SRR396143.2994541 D050VACXX110915:3:2308:6528:194748/3
SRR396143.2994542 D050VACXX110915:3:2308:7690:194749/3
SRR396143.2994543 D050VACXX110915:3:2308:1448:194750/3
SRR396143.2994544 D050VACXX110915:3:2308:8818:194750/3
SRR396143.2994545 D050VACXX110915:3:2308:3109:194753/3
SRR396143.2994546 D050VACXX110915:3:2308:12231:194758/3
SRR396143.2994547 D050VACXX110915:3:2308:7508:194759/3
SRR396143.2994548 D050VACXX110915:3:2308:11064:194764/3
SRR396143.2994549 D050VACXX110915:3:2308:18162:194768/3
SRR396143.2994550 D050VACXX110915:3:2308:19600:194773/3
SRR396143.2994551 D050VACXX110915:3:2308:2057:194774/3
SRR396143.2994552 D050VACXX110915:3:2308:1488:194776/3
SRR396143.2994553 D050VACXX110915:3:2308:10942:194779/3
SRR396143.2994554 D050VACXX110915:3:2308:8864:194780/3
SRR396143.2994555 D050VACXX110915:3:2308:18147:194783/3
SRR396143.2994556 D050VACXX110915:3:2308:14503:194787/3
SRR396143.2994557 D050VACXX110915:3:2308:15604:194792/3
SRR396143.2994558 D050VACXX110915:3:2308:12874:194794/3
SRR396143.2994559 D050VACXX110915:3:2308:6542:194797/3
SRR396143.2994560 D050VACXX110915:3:2308:14752:194798/3
SRR396143.2994561 D050VACXX110915:3:2308:2894:194800/3
SRR396143.2994562 D050VACXX110915:3:2308:15277:194808/3
SRR396143.2994563 D050VACXX110915:3:2308:13610:194823/3
SRR396143.2994564 D050VACXX110915:3:2308:6773:194825/3
SRR396143.2994565 D050VACXX110915:3:2308:20762:194829/3
SRR396143.2994566 D050VACXX110915:3:2308:14948:194836/3
SRR396143.2994567 D050VACXX110915:3:2308:20538:194842/3
SRR396143.2994568 D050VACXX110915:3:2308:20840:194842/3
SRR396143.2994569 D050VACXX110915:3:2308:18865:194848/3
SRR396143.2994570 D050VACXX110915:3:2308:19500:194852/3
SRR396143.2994571 D050VACXX110915:3:2308:1333:194854/3
SRR396143.2994572 D050VACXX110915:3:2308:1875:194855/3
SRR396143.2994573 D050VACXX110915:3:2308:16794:194856/3
SRR396143.2994574 D050VACXX110915:3:2308:1415:194867/3
SRR396143.2994575 D050VACXX110915:3:2308:7805:194868/3
SRR396143.2994576 D050VACXX110915:3:2308:9066:194870/3
SRR396143.2994577 D050VACXX110915:3:2308:16313:194871/3
SRR396143.2994578 D050VACXX110915:3:2308:17687:194871/3
SRR396143.2994579 D050VACXX110915:3:2308:1463:194873/3
SRR396143.2994580 D050VACXX110915:3:2308:10610:194874/3
SRR396143.2994581 D050VACXX110915:3:2308:2059:194876/3
SRR396143.2994582 D050VACXX110915:3:2308:7879:194877/3
SRR396143.2994583 D050VACXX110915:3:2308:2975:194879/3
SRR396143.2994584 D050VACXX110915:3:2308:2494:194883/3
SRR396143.2994585 D050VACXX110915:3:2308:1687:194885/3
SRR396143.2994586 D050VACXX110915:3:2308:9396:194886/3
SRR396143.2994587 D050VACXX110915:3:2308:18920:194886/3
SRR396143.2994588 D050VACXX110915:3:2308:3121:194887/3
SRR396143.2994589 D050VACXX110915:3:2308:7603:194888/3
SRR396143.2994590 D050VACXX110915:3:2308:19310:194888/3
SRR396143.2994591 D050VACXX110915:3:2308:17928:194891/3
SRR396143.2994592 D050VACXX110915:3:2308:19676:194892/3
SRR396143.2994593 D050VACXX110915:3:2308:7195:194893/3
SRR396143.2994594 D050VACXX110915:3:2308:11425:194894/3
SRR396143.2994595 D050VACXX110915:3:2308:13712:194894/3
SRR396143.2994596 D050VACXX110915:3:2308:6759:194896/3
SRR396143.2994597 D050VACXX110915:3:2308:8424:194896/3
SRR396143.2994598 D050VACXX110915:3:2308:5405:194899/3
SRR396143.2994599 D050VACXX110915:3:2308:7116:194899/3
SRR396143.2994600 D050VACXX110915:3:2308:3368:194907/3
SRR396143.2994601 D050VACXX110915:3:2308:6789:194908/3
SRR396143.2994602 D050VACXX110915:3:2308:13258:194908/3
SRR396143.2994603 D050VACXX110915:3:2308:5441:194911/3
SRR396143.2994604 D050VACXX110915:3:2308:11065:194917/3
SRR396143.2994605 D050VACXX110915:3:2308:8452:194920/3
SRR396143.2994606 D050VACXX110915:3:2308:2025:194925/3
SRR396143.2994607 D050VACXX110915:3:2308:1802:194926/3
SRR396143.2994608 D050VACXX110915:3:2308:8480:194926/3
SRR396143.2994609 D050VACXX110915:3:2308:20257:194931/3
SRR396143.2994610 D050VACXX110915:3:2308:1879:194935/3
SRR396143.2994611 D050VACXX110915:3:2308:8549:194935/3
SRR396143.2994612 D050VACXX110915:3:2308:2267:194940/3
SRR396143.2994613 D050VACXX110915:3:2308:15113:194949/3
SRR396143.2994614 D050VACXX110915:3:2308:3374:194951/3
SRR396143.2994615 D050VACXX110915:3:2308:5511:194952/3
SRR396143.2994616 D050VACXX110915:3:2308:14519:194953/3
SRR396143.2994617 D050VACXX110915:3:2308:18764:194955/3
SRR396143.2994618 D050VACXX110915:3:2308:10385:194959/3
SRR396143.2994619 D050VACXX110915:3:2308:14336:194960/3
SRR396143.2994620 D050VACXX110915:3:2308:20364:194960/3
SRR396143.2994621 D050VACXX110915:3:2308:13826:194961/3
SRR396143.2994622 D050VACXX110915:3:2308:7507:194963/3
SRR396143.2994623 D050VACXX110915:3:2308:19044:194964/3
SRR396143.2994624 D050VACXX110915:3:2308:3970:194965/3
SRR396143.2994625 D050VACXX110915:3:2308:12040:194974/3
SRR396143.2994626 D050VACXX110915:3:2308:9754:194975/3
SRR396143.2994627 D050VACXX110915:3:2308:8623:194980/3
SRR396143.2994628 D050VACXX110915:3:2308:17732:194987/3
SRR396143.2994629 D050VACXX110915:3:2308:5592:194996/3
SRR396143.2994630 D050VACXX110915:3:2308:5485:194997/3
SRR396143.2994631 D050VACXX110915:3:2308:13049:194997/3
SRR396143.2994632 D050VACXX110915:3:2308:6949:194999/3
SRR396143.2994633 D050VACXX110915:3:2308:2443:195000/3
SRR396143.2994634 D050VACXX110915:3:2308:8236:195002/3
SRR396143.2994635 D050VACXX110915:3:2308:15815:195012/3
SRR396143.2994636 D050VACXX110915:3:2308:3680:195017/3
SRR396143.2994637 D050VACXX110915:3:2308:12484:195021/3
SRR396143.2994638 D050VACXX110915:3:2308:6312:195028/3
SRR396143.2994639 D050VACXX110915:3:2308:13798:195031/3
SRR396143.2994640 D050VACXX110915:3:2308:2050:195036/3
SRR396143.2994641 D050VACXX110915:3:2308:5198:195036/3
SRR396143.2994642 D050VACXX110915:3:2308:17001:195037/3
SRR396143.2994643 D050VACXX110915:3:2308:17665:195037/3
SRR396143.2994644 D050VACXX110915:3:2308:2581:195039/3
SRR396143.2994645 D050VACXX110915:3:2308:6251:195041/3
SRR396143.2994646 D050VACXX110915:3:2308:2005:195047/3
SRR396143.2994647 D050VACXX110915:3:2308:20964:195050/3
SRR396143.2994648 D050VACXX110915:3:2308:19224:195052/3
SRR396143.2994649 D050VACXX110915:3:2308:17063:195055/3
SRR396143.2994650 D050VACXX110915:3:2308:5458:195056/3
SRR396143.2994651 D050VACXX110915:3:2308:15411:195056/3
SRR396143.2994652 D050VACXX110915:3:2308:12221:195059/3
SRR396143.2994653 D050VACXX110915:3:2308:14653:195067/3
SRR396143.2994654 D050VACXX110915:3:2308:15482:195067/3
SRR396143.2994655 D050VACXX110915:3:2308:7512:195071/3
SRR396143.2994656 D050VACXX110915:3:2308:15893:195076/3
SRR396143.2994657 D050VACXX110915:3:2308:4514:195081/3
SRR396143.2994658 D050VACXX110915:3:2308:8057:195081/3
